ssl_score,age_curr,idoc_res_zip_code,sex_code_cd,race_code_cd,majority_dist,latest_dist_res
377,20-30,De-identified,F,BLK,17,31
411,less than 20,De-identified,F,BLK,5,31
372,less than 20,De-identified,F,WHI,De-identified,31
368,less than 20,De-identified,M,BLK,De-identified,31
360,less than 20,De-identified,M,WWH,De-identified,31
361,less than 20,De-identified,F,BLK,De-identified,3
366,less than 20,De-identified,M,WHI,De-identified,31
367,20-30,De-identified,M,BLK,3,31
363,less than 20,De-identified,M,BLK,De-identified,31
375,less than 20,De-identified,M,BLK,5,5
388,less than 20,De-identified,M,BLK,De-identified,31
365,less than 20,De-identified,M,BLK,De-identified,31
374,less than 20,De-identified,M,BLK,De-identified,31
370,less than 20,De-identified,M,BLK,De-identified,31
361,less than 20,De-identified,M,WWH,20,31
374,20-30,60625,M,WWH,17,31
372,20-30,De-identified,M,WWH,4,31
389,less than 20,De-identified,M,WHI,De-identified,31
371,less than 20,De-identified,M,WWH,De-identified,31
385,20-30,De-identified,M,WHI,De-identified,31
378,less than 20,De-identified,F,BLK,De-identified,5
372,20-30,De-identified,F,WWH,19,31
370,20-30,De-identified,M,WHI,8,8
369,less than 20,De-identified,M,BLK,De-identified,31
363,less than 20,De-identified,M,BLK,De-identified,31
366,less than 20,De-identified,F,BLK,De-identified,15
364,less than 20,De-identified,M,WWH,De-identified,31
373,less than 20,De-identified,M,BLK,De-identified,31
362,20-30,60637,M,BLK,3,31
364,less than 20,De-identified,M,WWH,De-identified,31
414,less than 20,De-identified,M,WWH,De-identified,17
383,less than 20,De-identified,M,BLK,De-identified,31
387,less than 20,De-identified,M,BLK,6,31
374,less than 20,De-identified,F,BLK,De-identified,31
376,less than 20,De-identified,M,WHI,8,31
385,less than 20,De-identified,M,BLK,De-identified,31
364,less than 20,De-identified,M,BLK,6,8
407,less than 20,De-identified,M,WWH,8,8
380,20-30,De-identified,F,WHI,2,31
427,20-30,De-identified,M,BLK,15,15
362,20-30,60640,M,WWH,25,9
366,less than 20,De-identified,M,BLK,De-identified,31
361,less than 20,De-identified,M,BLK,De-identified,31
370,less than 20,De-identified,M,BLK,De-identified,31
362,20-30,De-identified,M,BLK,De-identified,31
368,20-30,De-identified,M,WWH,17,25
367,less than 20,De-identified,M,WHI,De-identified,31
372,less than 20,De-identified,M,BLK,De-identified,31
362,less than 20,De-identified,M,BLK,De-identified,31
370,20-30,De-identified,M,BLK,1,3
369,less than 20,De-identified,M,BLK,De-identified,31
392,less than 20,De-identified,F,WWH,31,31
373,less than 20,De-identified,M,BLK,De-identified,31
367,less than 20,De-identified,F,WHI,De-identified,31
385,20-30,60651,M,BLK,15,15
372,less than 20,De-identified,M,BLK,De-identified,31
379,less than 20,De-identified,M,BLK,De-identified,31
401,less than 20,De-identified,M,BLK,De-identified,31
365,less than 20,De-identified,M,WWH,De-identified,31
364,less than 20,De-identified,M,WWH,De-identified,31
367,less than 20,De-identified,M,BLK,De-identified,31
447,less than 20,De-identified,M,BLK,2,15
370,less than 20,De-identified,M,WWH,De-identified,31
362,less than 20,De-identified,M,BLK,De-identified,31
360,20-30,De-identified,M,BLK,5,31
410,less than 20,De-identified,M,BLK,De-identified,31
370,20-30,De-identified,F,BLK,3,31
362,less than 20,De-identified,M,WWH,De-identified,31
375,20-30,De-identified,M,BLK,6,31
391,less than 20,De-identified,M,BLK,De-identified,31
361,less than 20,De-identified,F,BLK,De-identified,31
405,less than 20,De-identified,M,BLK,5,31
366,less than 20,De-identified,M,WHI,De-identified,31
376,20-30,De-identified,M,BLK,7,5
365,less than 20,De-identified,M,WHI,9,31
361,less than 20,De-identified,M,BLK,De-identified,31
407,20-30,De-identified,M,BLK,15,15
370,20-30,De-identified,M,BLK,7,31
379,20-30,De-identified,M,BLK,4,31
382,less than 20,De-identified,F,BLK,6,6
428,less than 20,De-identified,M,BLK,7,31
363,less than 20,De-identified,F,WWH,De-identified,31
362,20-30,De-identified,F,BLK,11,15
363,20-30,De-identified,M,WWH,24,31
371,20-30,De-identified,M,BLK,15,31
365,less than 20,De-identified,F,WWH,De-identified,31
375,20-30,De-identified,M,BLK,7,31
362,less than 20,De-identified,M,BLK,De-identified,31
381,less than 20,De-identified,M,BLK,4,31
365,less than 20,De-identified,F,BLK,De-identified,31
375,less than 20,De-identified,M,BLK,De-identified,31
378,less than 20,De-identified,M,BLK,De-identified,31
360,20-30,De-identified,F,BLK,7,31
361,20-30,De-identified,M,WWH,10,31
394,20-30,De-identified,M,BLK,18,31
380,20-30,De-identified,M,WHI,De-identified,31
400,less than 20,De-identified,M,BLK,De-identified,31
365,20-30,De-identified,F,WWH,De-identified,31
370,20-30,De-identified,F,BLK,5,31
370,less than 20,De-identified,M,WWH,De-identified,31
361,less than 20,De-identified,F,BLK,De-identified,31
362,less than 20,De-identified,M,BLK,7,7
379,20-30,De-identified,M,BLK,De-identified,31
366,less than 20,De-identified,M,WWH,De-identified,31
364,20-30,De-identified,M,BLK,5,31
396,less than 20,De-identified,M,WWH,25,15
363,less than 20,De-identified,M,BLK,De-identified,31
313,20-30,De-identified,F,WHI,De-identified,31
393,less than 20,De-identified,M,BLK,De-identified,5
365,less than 20,De-identified,M,WHI,De-identified,31
349,20-30,De-identified,M,WWH,De-identified,31
373,less than 20,De-identified,M,BLK,De-identified,31
